state,p1990,p2000,p2010,p2011,p2012,p2013,p2014,p2015,p2016,p2017
Alabama,4062608,4461130,4802982,4798649,4813946,4827660,4840037,4850858,4860545,4874747
Alaska,551947,628933,721523,722259,730825,736760,736759,737979,741522,739795
Arizona,3677985,5140683,6412700,6465488,6544211,6616124,6706435,6802262,6908642,7016270
Arkansas,2362239,2679733,2926229,2938640,2949208,2956780,2964800,2975626,2988231,3004279
California,29839250,33930798,37341989,37672654,38019006,38347383,38701278,39032444,39296476,39536653
Colorado,3307912,4311882,5044930,5116411,5186330,5262556,5342311,5440445,5530105,5607154
Connecticut,3295669,3409535,3581628,3591927,3597705,3602470,3600188,3593862,3587685,3588184
Delaware,668696,785068,900877,907884,916868,925114,934805,944107,952698,961939
Florida,13003362,16028890,18900773,19097369,19341327,19584927,19897747,20268567,20656589,20984400
Georgia,6508419,8206975,9727566,9810595,9911171,9981773,10083850,10199533,10313620,10429379
Hawaii,1115274,1216642,1366862,1378323,1392772,1408038,1417710,1426320,1428683,1427538
Idaho,1011986,1297274,1573499,1583180,1594673,1610187,1630391,1649324,1680026,1716943
Illinois,11466682,12439042,12864380,12862298,12878494,12890403,12882438,12862051,12835726,12802023
Indiana,5564228,6090782,6501582,6515358,6535665,6567484,6593182,6610596,6634007,6666818
Iowa,2787424,2931923,3053787,3063690,3074386,3089876,3105563,3118473,3130869,3145711
Kansas,2485600,2693824,2863813,2868756,2885316,2892900,2899553,2905789,2907731,2913123
Kentucky,3698969,4049431,4350606,4368505,4383673,4399121,4410415,4422057,4436113,4454189
Louisiana,4238216,4480271,4553962,4574388,4602681,4626795,4648797,4671211,4686157,4684333
Maine,1233223,1277731,1333074,1327968,1328101,1327975,1328903,1327787,1330232,1335907
Maryland,4798622,5307886,5789929,5843115,5891680,5932654,5970245,6000561,6024752,6052177
Massachusetts,6029051,6355568,6559644,6612178,6659627,6711138,6757925,6794002,6823721,6859819
Michigan,9328784,9955829,9911626,9876199,9886610,9899219,9914675,9918170,9933445,9962311
Minnesota,4387029,4925670,5314879,5345967,5377695,5416074,5452649,5483238,5525050,5576606
Mississippi,2586443,2852927,2978240,2977452,2982963,2987721,2988578,2985297,2985415,2984100
Missouri,5137804,5606260,6011478,6010280,6023267,6041142,6058014,6072640,6091176,6113532
Montana,803655,905316,994416,996866,1003522,1011921,1019931,1028317,1038656,1050493
Nebraska,1584617,1715369,1831825,1841641,1854862,1867414,1880920,1893564,1907603,1920076
Nevada,1206152,2002032,2709432,2718170,2752410,2786547,2831730,2883057,2939254,2998039
New Hampshire,1113915,1238415,1321445,1318345,1320923,1322622,1328684,1330134,1335015,1342795
New Jersey,7748634,8424354,8807501,8844694,8882095,8913735,8943010,8960001,8978416,9005644
New Mexico,1521779,1823821,2067273,2077744,2083590,2085161,2083207,2082264,2085432,2088070
New York,18044505,19004973,19421055,19526372,19625409,19712514,19773580,19819347,19836286,19849399
North Carolina,6657630,8067673,9565781,9662940,9755299,9849812,9941160,10041769,10156689,10273419
North Dakota,641364,643756,675905,684830,701380,722908,738658,754859,755548,755393
Ohio,10887325,11374540,11568495,11543332,11546969,11567845,11593741,11606027,11622554,11658609
Oklahoma,3157604,3458819,3764882,3785232,3815298,3849840,3875008,3904353,3921207,3930864
Oregon,2853733,3428543,3848606,3865845,3893920,3919664,3960673,4016537,4085989,4142776
Pennsylvania,11924710,12300670,12734905,12742811,12768034,12778450,12790341,12791124,12787085,12805537
Rhode Island,1005984,1049662,1055247,1052154,1052761,1052784,1054782,1055916,1057566,1059639
South Carolina,3505707,4025061,4645975,4672744,4719009,4765862,4824758,4892423,4959822,5024369
South Dakota,699999,756874,819761,823338,832576,842513,849455,854036,861542,869666
Tennessee,4896641,5700037,6375431,6396281,6450632,6490795,6540007,6590726,6649404,6715984
Texas,17059805,20903994,25268418,25644424,26078327,26479279,26954436,27454880,27904862,28304596
Utah,1727784,2236714,2770765,2815430,2854222,2899961,2938671,2984917,3044321,3101833
Vermont,564964,609890,630337,626210,625606,626044,625665,624455,623354,623657
Virginia,6216568,7100702,8037736,8107548,8188656,8261689,8316902,8366767,8414380,8470020
Washington,4887941,5908684,6753369,6819155,6890899,6963410,7046931,7152818,7280934,7405743
West Virginia,1801625,1813077,1859815,1854891,1855360,1852333,1847624,1839767,1828637,1815857
Wisconsin,4906745,5371210,5698230,5705812,5721075,5736673,5751272,5759744,5772917,5795483
Wyoming,455975,495304,568300,567602,576608,582341,583334,586102,584910,579315
